"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Sandra";0.016;0.012;0.027;0.074;0.061;0.166;0.188;0.315;0.707;0.622;0.568;0.459;0.206;0.112;0.076
"Andel av fødte (prosent)";"Sanja";.;.;.;.;.;0.031;0.023;0.017;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sanna";.;.;.;.;.;.;0.011;0.039;0.028;0.040;0.086;0.161;0.231;0.395;0.183
"Andel av fødte (prosent)";"Sanne";.;.;.;.;.;.;.;0.014;0.013;0.058;0.107;0.104;0.127;0.049;0.084
"Andel av fødte (prosent)";"Sara";.;0.012;0.024;0.038;0.058;0.113;0.271;0.343;0.561;0.812;1.112;1.130;0.941;0.932;0.758
"Andel av fødte (prosent)";"Sarah";.;.;0.012;0.014;0.042;0.048;0.091;0.162;0.213;0.245;0.388;0.475;0.410;0.365;0.221
"Andel av fødte (prosent)";"Savannah";.;.;.;.;.;.;.;.;.;.;.;0.013;0.073;0.053;0.038
"Andel av fødte (prosent)";"Selam";.;.;.;.;.;0.014;0.017;0.025;0.018;0.017;0.012;.;.;.;.
"Andel av fødte (prosent)";"Selina";.;.;.;.;.;.;.;0.011;0.010;0.037;0.052;0.025;0.070;0.046;0.072
"Andel av fødte (prosent)";"Seline";.;.;.;.;.;.;.;.;.;0.014;0.037;0.044;0.033;0.040;0.030
"Andel av fødte (prosent)";"Selma";0.036;0.025;.;.;.;0.020;0.026;0.028;0.026;0.118;0.226;0.636;0.662;0.583;0.918
"Andel av fødte (prosent)";"Senait";.;.;.;.;0.021;0.031;0.037;0.028;0.020;.;.;.;.;.;.
"Andel av fødte (prosent)";"Serina";.;.;.;.;.;.;.;.;0.010;0.012;0.031;0.022;0.046;0.030;0.030
"Andel av fødte (prosent)";"Serine";.;.;.;.;.;.;.;.;0.010;0.032;0.024;0.028;0.067;0.053;0.034
"Andel av fødte (prosent)";"Sharon";.;.;.;.;0.021;.;0.034;0.017;.;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Sheila";.;.;.;.;.;.;0.011;0.036;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Shirin";.;.;.;.;.;0.014;0.026;0.020;0.018;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Sidra";.;.;.;.;.;.;.;0.022;.;.;.;0.057;0.024;.;0.030
"Andel av fødte (prosent)";"Sidsel";0.290;0.267;0.160;0.093;0.047;0.037;0.014;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sienna";.;.;.;.;.;.;.;.;.;.;.;0.013;0.079;0.095;0.145
"Andel av fødte (prosent)";"Sigfrid";0.036;0.012;0.015;.;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Signe";0.287;0.271;0.217;0.125;0.113;0.110;0.103;0.092;0.079;0.144;0.150;0.203;0.303;0.309;0.381
"Andel av fødte (prosent)";"Signy";0.063;0.050;0.036;0.016;.;0.011;.;.;.;.;.;.;.;.;0.019
"Andel av fødte (prosent)";"Sigrid";0.290;0.218;0.133;0.158;0.090;0.107;0.194;0.153;0.177;0.262;0.330;0.332;0.349;0.379;0.602
"Andel av fødte (prosent)";"Sigrun";0.283;0.233;0.139;0.109;0.063;0.048;0.066;0.031;0.018;0.026;0.018;0.035;.;0.013;.
"Andel av fødte (prosent)";"Sigrunn";0.082;0.075;0.030;0.025;0.018;.;0.014;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Siham";.;.;.;.;.;.;0.017;.;.;.;.;0.019;0.027;0.046;0.019
"Andel av fødte (prosent)";"Silja";.;.;.;.;0.011;0.056;0.029;0.011;0.015;0.017;0.024;0.038;0.049;0.040;0.015
"Andel av fødte (prosent)";"Silje";.;.;.;.;0.066;0.726;1.110;1.984;1.630;1.538;1.106;0.557;0.307;0.204;0.072
"Andel av fødte (prosent)";"Silvia";.;.;0.015;0.014;0.016;0.020;0.068;0.031;0.020;0.020;.;.;.;0.013;.
"Andel av fødte (prosent)";"Simona";.;.;.;.;.;0.011;0.029;0.059;0.067;0.029;.;.;0.021;.;0.019
"Andel av fødte (prosent)";"Simone";.;.;.;.;0.016;0.034;.;0.014;0.031;0.026;0.040;0.063;0.052;0.020;.
"Andel av fødte (prosent)";"Sina";.;.;.;.;.;.;.;.;0.026;0.046;0.073;0.089;0.082;0.049;0.061
"Andel av fødte (prosent)";"Sine";.;.;.;.;.;.;.;.;.;0.026;0.018;0.044;0.024;0.023;.
"Andel av fødte (prosent)";"Siren";0.016;0.044;0.027;0.057;0.063;0.062;0.043;0.036;0.044;0.043;0.031;0.101;.;0.023;.
"Andel av fødte (prosent)";"Siri";0.201;0.246;0.410;0.441;0.458;0.498;0.514;0.438;0.423;0.337;0.281;0.199;0.121;0.076;0.050
"Andel av fødte (prosent)";"Siril";.;.;.;.;.;0.014;0.014;0.011;0.033;0.032;0.052;0.013;0.015;.;.
"Andel av fødte (prosent)";"Sissel";1.015;0.924;1.165;0.836;0.653;0.326;0.180;0.120;0.054;0.026;0.012;0.022;.;.;.
"Andel av fødte (prosent)";"Siv";0.063;0.196;0.468;0.733;0.838;0.653;0.459;0.329;0.108;0.101;0.028;0.016;.;0.020;.
"Andel av fødte (prosent)";"Siw";.;.;0.121;0.253;0.308;0.174;0.108;0.075;0.046;0.029;.;.;.;.;.
"Andel av fødte (prosent)";"Snefrid";0.056;0.028;0.030;0.019;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sofia";.;.;.;.;0.024;0.023;0.043;0.036;0.069;0.124;0.147;0.291;0.525;0.876;0.788
"Andel av fødte (prosent)";"Sofie";.;0.012;0.018;0.011;0.011;0.025;0.020;0.100;0.159;0.553;0.981;1.054;1.175;1.053;1.021
"Andel av fødte (prosent)";"Sofija";.;.;.;.;.;.;.;.;.;.;.;.;0.027;0.056;0.046
"Andel av fødte (prosent)";"Sol";.;.;.;0.011;0.016;.;.;.;0.036;0.035;0.040;0.085;0.088;0.049;0.050
"Andel av fødte (prosent)";"Solbjørg";0.168;0.134;0.084;0.041;0.034;0.028;0.026;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Solfrid";0.349;0.330;0.235;0.204;0.169;0.135;0.088;0.039;0.044;0.020;0.012;.;0.012;.;0.015
"Andel av fødte (prosent)";"Solgunn";.;0.031;0.036;0.030;0.016;0.014;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Solrun";0.036;0.022;.;0.019;0.016;0.011;0.017;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Solveig";1.272;0.843;0.543;0.441;0.290;0.329;0.277;0.251;0.231;0.354;0.306;0.269;0.334;0.221;0.503
"Andel av fødte (prosent)";"Solvor";0.040;0.047;0.012;0.038;0.018;.;0.014;.;.;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Solvår";0.043;0.012;0.021;0.022;.;0.014;.;0.011;.;0.026;.;.;0.015;.;0.019
"Andel av fødte (prosent)";"Sonia";.;0.019;.;0.016;0.016;0.031;0.026;0.020;0.023;0.029;0.012;.;0.039;0.033;0.027
"Andel av fødte (prosent)";"Sonja";0.356;0.243;0.193;0.185;0.327;0.138;0.077;0.061;0.041;0.035;0.046;0.035;0.052;0.138;0.388
"Andel av fødte (prosent)";"Sophia";.;.;.;.;.;.;0.011;.;0.015;0.032;0.040;0.073;0.188;0.316;0.286
"Andel av fødte (prosent)";"Sophie";.;.;0.012;.;0.013;.;.;0.014;0.067;0.115;0.079;0.108;0.134;0.184;0.107
"Andel av fødte (prosent)";"Stella";.;.;.;.;.;0.011;.;.;.;.;0.037;0.111;0.243;0.329;0.255
"Andel av fødte (prosent)";"Stephanie";.;.;.;0.011;0.018;0.014;.;0.050;0.074;0.032;0.024;0.022;0.027;.;.
"Andel av fødte (prosent)";"Stina";0.013;.;.;0.019;0.034;0.101;0.088;0.111;0.087;0.098;0.095;0.108;0.030;0.033;0.023
"Andel av fødte (prosent)";"Stine";.;.;0.054;0.101;0.224;0.501;0.779;1.229;1.248;0.976;0.752;0.336;0.161;0.033;0.023
"Andel av fødte (prosent)";"Sumaya";.;.;.;.;.;.;.;.;.;.;0.024;0.019;0.049;0.053;0.034
"Andel av fødte (prosent)";"Sunniva";.;0.012;0.021;0.016;0.026;0.048;0.086;0.111;0.192;0.397;0.627;0.503;0.401;0.336;0.248
"Andel av fødte (prosent)";"Susan";0.016;0.025;0.039;0.030;0.058;0.051;0.034;0.050;0.028;0.014;0.018;.;.;.;.
"Andel av fødte (prosent)";"Susann";.;.;.;0.011;0.045;0.076;0.029;0.050;0.044;0.124;0.067;.;.;.;.
"Andel av fødte (prosent)";"Susanna";.;.;.;.;0.011;0.023;0.011;0.020;0.020;0.023;.;0.019;0.021;0.020;.
"Andel av fødte (prosent)";"Susanne";0.013;0.040;0.078;0.117;0.119;0.172;0.220;0.390;0.382;0.429;0.205;0.187;0.073;0.030;.
"Andel av fødte (prosent)";"Suzanne";.;0.016;.;0.014;0.013;.;0.029;0.036;0.038;0.023;0.015;0.025;.;.;.
"Andel av fødte (prosent)";"Svanhild";0.181;0.143;0.097;0.101;0.040;0.037;0.034;0.033;0.010;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Svetlana";.;.;0.066;0.082;0.084;0.082;0.043;0.050;0.020;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sylvi";0.129;0.131;0.094;0.068;0.050;0.025;0.026;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sylvia";0.089;0.053;0.042;0.041;0.053;0.107;0.100;0.053;0.031;0.017;.;.;.;0.020;0.019
"Andel av fødte (prosent)";"Sylwia";.;.;.;.;0.021;0.062;0.080;0.092;0.090;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Synne";.;.;.;0.019;0.029;0.065;0.060;0.075;0.143;0.351;0.617;0.484;0.310;0.280;0.202
"Andel av fødte (prosent)";"Synnøve";0.425;0.358;0.296;0.278;0.200;0.214;0.174;0.123;0.143;0.138;0.104;0.076;0.052;0.069;0.084
"Andel av fødte (prosent)";"Synøve";0.043;0.037;0.012;0.019;0.013;0.023;0.017;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Sølvi";0.194;0.351;0.428;0.300;0.216;0.110;0.131;0.061;0.028;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Tale";.;.;.;.;0.021;0.020;0.011;0.017;0.023;0.029;0.049;0.076;0.033;0.036;0.042
"Andel av fødte (prosent)";"Tamara";0.026;0.012;.;.;.;0.014;0.017;.;0.020;0.017;0.021;0.013;0.021;0.023;.
"Andel av fødte (prosent)";"Tanja";.;.;.;0.030;0.237;0.222;0.077;0.045;0.051;0.069;0.034;0.016;.;.;.
"Andel av fødte (prosent)";"Tanya";.;.;.;.;0.013;0.023;0.031;0.025;0.010;0.026;0.012;.;.;.;.
"Andel av fødte (prosent)";"Tara";.;.;.;.;.;0.011;.;0.011;0.033;0.046;0.034;0.063;0.049;0.059;0.065
"Andel av fødte (prosent)";"Tatiana";0.020;0.012;0.039;0.052;0.040;0.045;0.049;0.056;0.031;.;.;.;.;.;.
"Andel av fødte (prosent)";"Tatjana";0.013;.;0.024;0.022;0.018;0.045;0.029;0.017;0.015;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Tea";.;.;.;.;.;.;0.014;0.020;0.013;0.023;0.043;0.057;0.039;0.040;.
"Andel av fødte (prosent)";"Teresa";.;0.034;0.033;0.030;0.032;0.020;0.014;0.020;.;0.012;0.015;0.019;.;.;.
"Andel av fødte (prosent)";"Terese";.;.;.;0.011;0.016;0.073;0.046;0.081;0.064;0.035;0.028;0.022;.;.;.
"Andel av fødte (prosent)";"Thale";.;.;.;0.011;0.018;0.028;.;0.025;0.023;0.043;0.101;0.082;0.094;0.151;0.225
"Andel av fødte (prosent)";"Thanh";.;.;0.012;0.019;0.024;.;0.011;0.014;.;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Thea";0.016;.;.;0.022;0.016;0.053;0.060;0.162;0.479;0.729;1.378;1.561;1.129;0.889;0.762
"Andel av fødte (prosent)";"Thelma";.;.;.;.;.;.;.;.;.;.;0.015;0.051;0.085;0.092;0.099
"Andel av fødte (prosent)";"Theresa";.;.;.;.;.;0.020;0.026;0.014;0.010;0.029;0.043;0.016;.;.;.
"Andel av fødte (prosent)";"Therese";0.020;.;0.027;0.068;0.221;0.540;0.548;0.647;0.615;0.406;0.202;0.123;0.085;0.040;0.015
"Andel av fødte (prosent)";"Thi";0.020;0.031;0.036;0.038;0.050;0.073;0.094;0.156;0.115;0.052;0.021;0.013;.;.;.
"Andel av fødte (prosent)";"Thilde";.;.;.;.;.;.;.;.;.;.;0.012;0.032;0.039;0.043;0.038
"Andel av fødte (prosent)";"Thora";0.020;.;.;0.011;0.018;.;.;.;.;0.012;.;0.032;0.015;.;0.023
"Andel av fødte (prosent)";"Thu";.;.;.;0.011;0.021;0.011;0.014;.;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Thuy";.;.;.;0.019;0.042;0.023;0.029;0.017;0.023;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Tia";.;.;.;.;.;.;.;.;.;.;0.012;0.054;0.046;0.046;0.030
"Andel av fødte (prosent)";"Tilde";.;.;.;.;.;.;.;.;.;0.023;0.055;0.130;0.255;0.207;0.133
"Andel av fødte (prosent)";"Tilla";.;.;.;.;.;.;.;.;0.010;.;0.018;0.025;0.052;0.026;0.015
"Andel av fødte (prosent)";"Tina";.;.;0.030;0.112;0.134;0.264;0.245;0.518;0.623;0.576;0.355;0.168;0.073;0.026;0.042
"Andel av fødte (prosent)";"Tine";.;.;0.036;0.038;0.116;0.129;0.100;0.329;0.279;0.055;0.046;0.047;0.024;.;.
"Andel av fødte (prosent)";"Tiril";.;.;.;.;.;0.023;0.017;0.045;0.064;0.164;0.351;0.434;0.419;0.744;0.910
"Andel av fødte (prosent)";"Tirill";.;.;.;.;.;.;.;.;.;.;0.021;0.025;0.033;0.030;0.019
"Andel av fødte (prosent)";"Tomine";.;.;.;.;.;.;.;.;.;0.012;0.055;0.155;0.276;0.188;0.301
"Andel av fødte (prosent)";"Tone";0.445;0.855;1.325;1.335;1.523;1.134;0.728;0.401;0.282;0.147;0.092;0.041;0.033;0.033;0.015
"Andel av fødte (prosent)";"Tonje";0.013;0.028;0.033;0.087;0.142;0.464;0.468;0.652;0.725;0.634;0.373;0.127;0.079;0.033;0.023
"Andel av fødte (prosent)";"Tora";0.040;0.025;0.015;0.027;.;.;0.023;0.042;0.044;0.092;0.156;0.152;0.112;0.089;0.099
"Andel av fødte (prosent)";"Torbjørg";0.086;0.050;0.036;0.027;0.024;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Tordis";0.198;0.078;0.048;0.033;0.011;0.011;0.017;.;.;.;0.012;.;0.012;.;.
"Andel av fødte (prosent)";"Torgunn";0.089;0.050;0.030;0.030;.;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Torhild";0.481;0.308;0.226;0.153;0.082;0.034;0.037;0.014;0.015;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Toril";0.577;0.432;0.410;0.248;0.213;0.098;0.057;0.050;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Torild";0.362;0.239;0.187;0.131;0.053;0.017;0.014;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Torill";1.068;0.774;0.582;0.373;0.292;0.149;0.128;0.064;0.026;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Torun";0.066;0.096;0.066;0.030;0.021;0.023;.;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Torunn";0.395;0.358;0.344;0.264;0.269;0.152;0.148;0.081;0.049;0.035;.;0.022;.;.;.
"Andel av fødte (prosent)";"Tove";1.236;1.605;1.536;1.479;0.780;0.459;0.234;0.089;0.072;0.032;0.015;0.044;0.012;.;.
"Andel av fødte (prosent)";"Trine";0.082;0.171;0.492;0.801;1.017;0.692;0.525;0.577;0.448;0.386;0.159;0.038;0.021;0.013;.
"Andel av fødte (prosent)";"Trine-Lise";.;0.012;.;0.022;0.040;0.028;0.014;0.017;0.013;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Trude";0.030;0.128;0.296;0.417;0.540;0.557;0.294;0.173;0.151;0.086;0.049;0.016;.;.;.
"Andel av fødte (prosent)";"Turi";0.013;0.019;0.015;0.014;0.026;0.014;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Turid";1.232;1.029;0.721;0.452;0.290;0.138;0.074;0.059;0.033;0.017;0.012;.;.;.;0.015
"Andel av fødte (prosent)";"Tuva";.;.;.;.;.;.;0.034;0.070;0.056;0.156;0.437;1.013;0.753;0.642;0.647
"Andel av fødte (prosent)";"Tyra";.;.;.;.;.;.;.;.;.;0.014;0.061;0.060;0.064;0.036;0.053
"Andel av fødte (prosent)";"Ulla";0.066;0.059;0.042;0.052;0.021;0.017;0.014;.;.;.;.;0.025;0.021;0.030;0.019
"Andel av fødte (prosent)";"Ulrikke";.;.;.;.;.;.;.;.;0.069;0.081;0.064;0.038;0.046;0.053;0.057
"Andel av fødte (prosent)";"Una";.;.;.;.;.;0.017;0.020;.;0.015;0.020;0.043;0.111;0.088;0.079;0.084
"Andel av fødte (prosent)";"Une";.;.;.;0.019;0.011;.;.;0.014;.;0.014;0.012;0.013;.;.;0.019
"Andel av fødte (prosent)";"Unn";0.072;0.109;0.136;0.166;0.063;0.062;0.031;0.017;0.013;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Unni";1.166;1.188;0.857;0.534;0.385;0.143;0.066;0.047;0.018;.;0.012;0.013;0.012;0.016;.
"Andel av fødte (prosent)";"Urszula";.;.;0.015;.;0.011;0.017;0.029;0.050;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Vaida";.;.;.;.;.;0.017;0.023;0.042;0.031;.;.;.;.;.;.
"Andel av fødte (prosent)";"Valborg";0.033;0.012;0.018;0.011;0.016;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Valentina";0.026;0.025;0.021;0.019;0.011;0.014;0.026;0.022;0.015;0.032;0.012;0.016;0.024;0.043;0.019
"Andel av fødte (prosent)";"Valeria";.;.;.;.;.;.;.;.;.;0.017;0.015;.;.;0.020;0.019
"Andel av fødte (prosent)";"Vanessa";.;.;.;.;0.013;0.028;0.037;0.022;0.061;0.058;0.055;0.111;0.106;0.112;0.137
"Andel av fødte (prosent)";"Vanja";.;.;0.027;0.030;0.055;0.079;0.049;0.047;0.059;0.072;0.052;0.044;0.018;0.016;.
"Andel av fødte (prosent)";"Venche";0.036;0.056;0.045;0.038;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Venke";0.049;0.090;0.091;0.104;0.042;0.020;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Vera";0.168;0.187;0.121;0.084;0.066;0.053;0.054;0.042;0.023;0.052;0.046;0.057;0.042;0.095;0.126
"Andel av fødte (prosent)";"Veronica";.;.;.;0.019;0.082;0.256;0.439;0.399;0.436;0.274;0.138;0.054;0.030;0.030;0.023
"Andel av fødte (prosent)";"Veronika";.;.;.;.;0.047;0.104;0.123;0.128;0.126;0.164;0.040;0.041;0.036;0.013;.
"Andel av fødte (prosent)";"Veslemøy";.;0.016;0.018;0.027;0.040;0.023;0.031;0.020;0.015;0.037;0.037;0.041;0.052;0.016;.
"Andel av fødte (prosent)";"Vibecke";0.013;0.022;0.021;0.041;0.061;0.079;0.014;0.011;.;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Vibeke";0.082;0.115;0.199;0.223;0.801;0.554;0.388;0.206;0.113;0.058;0.034;0.016;.;.;.
"Andel av fødte (prosent)";"Victoria";.;.;0.012;0.019;0.026;0.045;0.063;0.203;0.331;0.418;0.957;0.595;0.689;0.547;0.442
"Andel av fødte (prosent)";"Vida";.;.;0.012;.;0.011;.;0.011;.;.;0.012;.;0.016;0.036;0.059;0.030
"Andel av fødte (prosent)";"Vigdis";0.939;0.911;0.582;0.441;0.190;0.104;0.054;0.045;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Viktoria";.;.;.;.;0.011;.;0.034;0.045;0.061;0.127;0.199;0.158;0.161;0.105;0.084
"Andel av fødte (prosent)";"Viktorija";.;.;.;.;.;.;0.014;0.053;0.031;0.017;0.012;0.028;0.024;.;.
"Andel av fødte (prosent)";"Vilde";.;.;.;0.014;.;0.017;0.020;0.045;0.184;0.827;0.960;0.848;0.829;0.675;0.735
"Andel av fødte (prosent)";"Vilja";.;.;.;.;.;.;.;.;.;.;0.028;0.104;0.191;0.174;0.248
"Andel av fødte (prosent)";"Vilje";.;.;.;.;.;.;.;.;.;.;.;0.028;0.067;0.119;0.122
"Andel av fødte (prosent)";"Vilma";.;.;.;0.011;0.029;0.020;0.034;0.017;0.010;.;0.028;0.013;0.118;0.102;0.209
"Andel av fødte (prosent)";"Viola";.;0.012;.;0.011;.;0.017;.;.;0.023;.;.;0.016;0.027;0.033;0.050
"Andel av fødte (prosent)";"Violeta";.;.;.;0.014;0.016;0.025;0.026;0.017;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Vivi";0.053;0.084;0.109;0.074;0.066;0.039;0.023;0.022;0.010;0.012;0.012;.;0.012;.;.
"Andel av fødte (prosent)";"Vivian";0.056;0.068;0.100;0.104;0.111;0.149;0.080;0.075;0.049;0.035;0.024;0.038;0.021;0.026;0.015
"Andel av fødte (prosent)";"Vår";.;.;.;.;.;.;.;.;.;0.020;0.018;0.057;0.024;0.020;0.019
"Andel av fødte (prosent)";"Vårin";.;.;.;.;.;.;.;.;.;0.032;0.049;0.041;0.030;0.066;0.141
"Andel av fødte (prosent)";"Wanja";.;.;0.024;0.019;.;0.034;0.011;0.017;.;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Wenche";1.292;1.661;1.267;1.335;0.783;0.492;0.245;0.123;0.049;0.040;0.021;.;.;.;.
"Andel av fødte (prosent)";"Wendy";.;0.016;.;0.019;0.013;0.017;0.026;0.011;0.015;.;.;0.013;.;.;.
"Andel av fødte (prosent)";"Wenke";0.026;0.047;0.060;0.057;0.037;0.014;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Weronika";.;.;.;.;.;.;0.011;0.025;0.026;0.037;0.070;0.032;0.012;.;.
"Andel av fødte (prosent)";"Wigdis";0.043;0.047;0.021;0.025;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Wiktoria";.;.;.;.;.;.;.;.;.;0.012;0.092;0.089;0.052;0.049;0.065
"Andel av fødte (prosent)";"Wilma";.;.;.;.;.;.;.;.;.;.;0.021;0.035;0.094;0.132;0.171
"Andel av fødte (prosent)";"Yasmin";.;.;.;.;0.016;0.011;0.034;0.042;0.026;0.032;0.043;0.060;0.049;0.059;0.046
"Andel av fødte (prosent)";"Ylva";.;.;.;.;0.024;0.028;0.017;.;0.038;0.095;0.138;0.212;0.191;0.286;0.381
"Andel av fødte (prosent)";"Yngvild";.;.;0.012;0.016;0.013;0.017;0.040;0.011;0.023;0.026;.;.;.;.;.
"Andel av fødte (prosent)";"Yvonne";0.020;0.022;0.033;0.049;0.113;0.166;0.163;0.178;0.113;0.069;0.058;0.022;0.024;.;.
"Andel av fødte (prosent)";"Zahra";.;0.012;0.027;0.014;0.026;0.034;0.029;0.059;0.051;0.023;0.037;0.060;0.027;0.026;0.050
"Andel av fødte (prosent)";"Zainab";.;.;.;0.014;0.016;.;0.017;0.022;0.013;0.029;0.037;0.028;0.055;0.053;0.015
"Andel av fødte (prosent)";"Zara";.;.;.;0.011;.;.;.;.;0.013;.;0.021;0.044;0.052;0.063;0.027
"Andel av fødte (prosent)";"Zeinab";.;.;.;.;.;.;.;0.022;0.010;.;0.018;0.016;0.012;.;.
"Andel av fødte (prosent)";"Zoe";.;.;.;.;.;.;.;.;.;.;.;0.022;0.018;0.030;0.084
"Andel av fødte (prosent)";"Zofia";.;0.019;0.012;.;.;.;0.011;.;.;.;.;0.016;0.033;0.043;0.065
"Andel av fødte (prosent)";"Zuzanna";.;.;.;.;.;.;.;0.014;0.013;0.012;0.021;0.063;0.061;0.056;0.065
"Andel av fødte (prosent)";"Ågot";0.023;0.028;0.018;0.016;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Åsa";0.013;0.022;0.021;0.025;0.024;0.023;0.026;0.014;0.018;.;0.034;0.016;0.018;0.016;0.076
"Andel av fødte (prosent)";"Åse";0.965;0.961;0.694;0.515;0.377;0.205;0.154;0.100;0.074;0.066;0.040;0.038;0.039;0.043;0.190
"Andel av fødte (prosent)";"Åshild";0.224;0.196;0.178;0.142;0.140;0.135;0.146;0.056;0.092;0.072;0.061;0.041;0.018;.;0.027
"Andel av fødte (prosent)";"Åslaug";0.036;0.034;0.018;.;0.026;0.011;0.014;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Åsne";0.013;0.012;0.015;0.011;0.029;0.039;0.023;0.017;0.033;0.043;0.052;0.060;0.036;0.033;0.050
"Andel av fødte (prosent)";"Åsta";0.043;0.022;0.021;0.027;0.011;0.020;.;0.014;0.013;.;.;0.013;0.018;0.030;0.034
